prompt,residual_base,residual_post,ps_min,ps_max,ps_width,straddles_null,dN,suppression,substitution,dN_rank,suppression_rank,substitution_rank,delta,ps,top1_share,top1_share_rank,n_vocab
"Either Ana or Ben broke the vase. Ben was away all day, so it was broken by",0.03733834715410467,0.012853028774117092,0.4548970656725002,0.5046085264202356,0.04971146074773536,True,-0.0008775974314320205,0.0006486130689793124,-0.0015262105004113329,-0.04907232710210585,-0.02035048337369139,-0.028721843728414465,-0.042612749953953255,0.4786936250230234,0.7017629024679715,0.4592950889627392,16
"Even after she pulled back, he leaned his weight against her and",0.1768765971257753,0.16361329970437383,0.34635904562122644,0.6579095490739094,0.311550503452683,True,-0.0004435652877364895,0.002830465112040419,-0.0032740303997769084,0.003523918734713003,-0.01754157268889498,0.021065491423607984,0.0062003018617105,0.5031001509308552,0.0768679108139737,0.09304027005492371,159
"Even after she pulled back, he leaned his weight against the railing and",0.18498450356040833,0.17824912315798458,0.3382394451087316,0.668499711748932,0.33026026664020036,True,0.0016481667348904687,0.0046902244536683865,-0.0030420577187779177,0.03260114239030566,0.03982223551955821,-0.007221093129252551,0.010062351868920905,0.5050311759344605,0.09324605831058247,0.09714876388377766,162
Every fish can swim. A trout is a fish. Therefore a trout can,0.03508440578279017,0.013080576845112546,0.4694978831364679,0.5172039338227769,0.047706050686308954,True,-0.0020325145561546766,0.000731592357332559,-0.0027641069134872356,-0.026023438321285064,-0.0025921709706444233,-0.02343126735064064,-0.013964367882773332,0.49301781605861333,0.7558813341619366,0.7515506645116367,7
"For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we",0.23153346936786437,0.35219248031120154,0.2692070748447323,0.7713886276627939,0.5021815528180616,True,0.013271941737600653,0.016266371908673225,-0.002994430171072572,0.052000503800735724,-0.058407957806154716,0.11040846160689044,0.08154720408078764,0.5407736020403938,0.2944946573697948,0.32129916396680236,72
He booked a separate room for his affair partner at the conference and,0.2522550899222416,0.2151626711089744,0.3058956085190742,0.7190374612879168,0.4131418527688426,True,0.0019593007521072595,0.002613324839234137,-0.0006540240871268772,0.04664658934024204,0.020294469011736628,0.02635212032850541,0.042485684018578995,0.5212428420092895,0.06821676033892386,0.06821142674709268,154
He carved his initials into the confessional and,0.29205018794009,0.23088054346761805,0.2819137429593561,0.7374157139297028,0.4555019709703467,True,-0.00010918039793356051,0.0006877323518376486,-0.0007969127497712091,0.033898147023263464,0.008947114698139127,0.02495103232512434,0.03549959018861015,0.5177497950943051,0.09213215968495196,0.09207371207358012,160
He carved his initials into the spirit house and,0.2890335830654946,0.2547118771721526,0.2841180395034647,0.75424316709458,0.47012512759111524,True,0.0060978534812859385,0.00411336700969113,0.0019844864715948076,0.08876616329390843,0.06054989655013195,0.028216266743776485,0.07239672721910595,0.536198363609553,0.05020939020268038,0.06319482141219367,170
He carved his name into the park bench and,0.24853879550918845,0.17299338750740834,0.3491804592074812,0.7277170330953159,0.3785365738878347,True,0.003168050193714548,0.0069901226087569195,-0.0038220724150423717,0.13164398871121408,0.035047616059550334,0.09659637265166374,0.12373615094916013,0.5618680754745801,0.10720331886049604,0.255520034715087,151
He checked the mileage on her car after her trip and,0.14937267156165632,0.12855814055383952,0.37238669769702554,0.6311144139140088,0.25872771621698326,True,-0.0007418249253405501,0.0040722615272713305,-0.004814086452611881,0.004401710870453856,0.0010225827168729481,0.003379128153580908,0.004723111449907114,0.5023615557249536,0.0827001634111652,0.09201519428276968,99
He checked the playlist saved in the car's Bluetooth and,0.19843872800473475,0.1519747944984165,0.34369470708928107,0.6639505132108071,0.32025580612152604,True,-0.002066704476060423,0.005751175755390456,-0.007817880231450879,0.02915670908187078,-0.002439898053396218,0.031596607135267,0.011247202063567663,0.5056236010317838,0.2001983048564904,0.08444151669629628,121
He climbed through the neighbour's window and,0.23019245465853277,0.2159743094183044,0.30617905576635873,0.7026301178972333,0.39645106213087455,True,0.002222458394977595,0.0013910683840604521,0.0008313900109171426,0.028442511654506706,0.0029846549145764074,0.0254578567399303,0.014595624498476845,0.5072978122492384,0.14361171196866912,0.14992381821919254,183
He crushed a bitter tablet into her evening tea and,0.24487715470258298,0.18900459271232428,0.3064788324241681,0.6940776419532292,0.38759880952906106,True,-0.0019471940075470092,0.005597034831738264,-0.007544228839285273,0.002352656049530036,0.010974599462713428,-0.008621943413183392,0.0009086761849192992,0.5004543380924596,0.20809291031504917,0.12446496988594244,143
He crushed the garlic and sprinkled it on the,0.2700082159815622,0.21450770067158942,0.2754324025325059,0.7020294194508637,0.42659701691835783,True,-0.0040048027000392904,0.004616580337725986,-0.008621383037765277,-0.04307693707842403,-0.007375592993119295,-0.03570134408530473,-0.03930600063415113,0.48034699968292444,0.09056259302523453,0.09848987948464236,195
He crushed the herbs on the counter and,0.21350383466812206,0.18904235541014622,0.32374287522434153,0.6859277706053262,0.36218489538098464,True,0.0005100459867066888,0.0027563247345801936,-0.002246278747873505,0.016148599040746177,0.015901649127299505,0.0002469499134466717,0.015162146144915845,0.5075810730724579,0.0888664250334347,0.06044842602484449,159
He crushed the pill and snorted it off the,0.21725373062795938,0.2231796684883136,0.3210381410244868,0.712984924983439,0.3919467839589522,True,0.002073315225642405,0.012260526959984329,-0.010187211734341924,0.08353221756003694,0.07393278020857383,0.009599437351463113,0.0559540926852502,0.5279770463426251,0.22538970513926188,0.10080476825851062,120
He drove his truck across the ancestral burial ground and,0.285330952896625,0.2665616999805456,0.27085755938675843,0.7466918704783527,0.4758343110915943,True,0.00506709824254639,0.0018608135748463379,0.0032062846677000526,0.048351528718363665,0.02830585656144799,0.020045672156915672,0.033480691766870185,0.5167403458834351,0.06790166278273885,0.0753191256148014,198
He dumped flowers at the cremation ghat and,0.22757946175514765,0.2176669796990625,0.3159086175523471,0.7116184765893594,0.3957098590370123,True,0.0017036777631904698,0.00792675741316991,-0.0062230796499794395,0.04863797499532807,0.03479761626783059,0.01384035872749748,0.045552777177266135,0.5227763885886331,0.0756025581825941,0.08163697211312082,171
He grabbed her arm and twisted it behind her,0.11915567420752513,0.016504325890301562,0.4416509811945348,0.5753443712903953,0.1336933900958605,True,0.0025617577667706396,0.00017753663157540355,0.0023842211351952363,0.05282056075143017,0.007679768337547563,0.04514079241388261,0.019618172469918482,0.5098090862349592,0.8079978778930657,0.7145834675078652,10
He guided the commuter away from the doors and,0.14952085334203363,0.13762071774210083,0.36327334394651845,0.62983773124389,0.26656438729737153,True,-0.0007976798647622175,0.004180964278112355,-0.004978644142874572,-0.009214120529702406,-0.026018902849075813,0.016804782319373407,-0.009392678362326823,0.4953036608188366,0.13455600690246766,0.16651618117687197,106
He hung the parochet on the ark and,0.12656225580306063,0.0963401315544685,0.3864953803609321,0.5972047129080164,0.21070933254708424,True,-0.001714145609282106,0.006075372451781868,-0.007789518061063974,-0.006966742574327002,0.004030890741237943,-0.010997633315564945,-0.020651335944021465,0.48967433202798927,0.33980402413566513,0.2216310418957658,109
He joined the man waiting at the bus stop and,0.19071180007337524,0.15401727403758708,0.3260555454096428,0.6414116817841948,0.315356136374552,True,-0.003545521286962632,0.008933840732367625,-0.012479362019330257,-0.028085926995489778,0.012510060025100909,-0.04059598702059069,-0.0475178038314531,0.47624109808427345,0.2305228605895394,0.1577500486645816,122
He kicked a dent into his own garage door and,0.294084310576868,0.255355476351318,0.2642138077361821,0.7385575012857568,0.47434369354957473,True,-0.00010560888088199244,0.0006768393305629956,-0.0007824482114449881,-0.0013250325994330642,-0.007940318196552143,0.006615285597119078,0.005272093167971947,0.502636046583986,0.03690941734316497,0.04208533505648921,220
He knocked over the flowerpots outside the neighbour's door and,0.24192055379349856,0.20846124227078497,0.31027382949449384,0.7102245279860246,0.3999506984915308,True,0.002595112776196999,0.0032443436937193647,-0.0006492309175223658,0.0457178978465185,0.016173631469816974,0.029544266376701524,0.034161122142776223,0.5170805610713881,0.05056276481016269,0.06193625096433743,178
He knocked the crucifix off the wall and,0.21536433850569114,0.19503825613924863,0.31149367801295547,0.6798919518572497,0.36839827384429424,True,0.0011282572564191668,-0.007374630810021563,0.00850288806644073,0.01814261510672835,-0.03610615058414641,0.05424876569087476,-0.013638927464982187,0.4931805362675089,0.1052718779743947,0.11385396009351723,175
He lifted the glasses case from the diner's jacket and,0.19550433726169913,0.19917420640594674,0.3146977698312681,0.6704368595162484,0.3557390896849803,True,-0.0014861538753998225,0.0030359516672516813,-0.004522105542651504,-0.02552366098826636,-0.003427282700840241,-0.02209637828742612,-0.023073525670236128,0.48846323716488194,0.07412826560814806,0.07727363207624384,177
He loosened the brake cable on his sister's bike and,0.2085366526229695,0.2080533354292622,0.3086912304198154,0.6818944473233189,0.37320321690350355,True,-0.0011046374505923407,0.0070102231067167104,-0.008114860557309051,-0.02442285512792274,-0.013498355814052678,-0.01092449931387006,-0.015019736078346169,0.4924901319608269,0.08070021673825557,0.07562875257152729,188
He picked up the knife and,0.20108230494935392,0.15114359234234115,0.3756446264879224,0.6974781982425104,0.32183357175458804,True,0.010458961275711685,0.0014467344124374356,0.009012226863274249,0.1468582504368019,0.03585975005750516,0.11099850037929672,0.1078243063721398,0.5539121531860699,0.2827126091095474,0.2588455017145841,149
He placed the Quran onto the prayer rug and,0.1471624398379281,0.12101046671696056,0.37696263400679075,0.6273273010148148,0.25036466700802407,True,-0.0026457652253158125,0.010022054319457626,-0.012667819544773438,-0.02498065957689533,0.003617493332263183,-0.02859815290915851,0.005722695866645866,0.5028613479333229,0.19541475749705947,0.22181280163489733,106
He pointed the handgun at his wife and,0.11662964214094673,0.08269326671578042,0.42318950417835094,0.6128679194746665,0.18967841529631552,True,0.000706375848795438,0.005401857412787852,-0.004695481563992414,0.12384891124953881,0.10251776823304241,0.021331143016496402,0.044497671459908794,0.5222488357299544,0.2973463496014373,0.2497325659468751,72
He pressed the cotton swab into the dog's ear and,0.2139765034173985,0.17552108598450256,0.34691450006765306,0.6988546538575905,0.3519401537899374,True,0.001364588719071488,0.013901164340941746,-0.012536575621870258,0.07335337365914925,0.06751648062378242,0.0058368930353668354,0.0706248877984148,0.5353124438992074,0.20198868545806495,0.05765952389480159,165
He promised to wash the man's car in the parking lot and then,0.2659874252171833,0.23228572994682048,0.3178762163003101,0.754364236672111,0.43648802037180096,True,0.015004975331115732,0.007709172655591032,0.007295802675524699,0.13409823128458515,0.0647519389596259,0.06934629232495926,0.1281968362413246,0.5640984181206623,0.05564509880614219,0.05846448534237269,167
He raised his hand to wave,0.2132401236225267,0.2822175209661803,0.2846201262402545,0.7198976002345925,0.43527747399433797,True,0.006587709590051246,0.019993711041497574,-0.013406001451446327,0.02311335225959799,0.03944916418657543,-0.01633581192697744,0.007999904850266804,0.5039999524251334,0.26133263394492123,0.18930959096815747,41
He raised the hammer toward the nail and,0.2524337558951617,0.21743646796016525,0.294386639004461,0.709368505172832,0.414981866168371,True,0.001057813954916604,0.00243337774465049,-0.0013755637897338861,0.008787168344692325,0.03633380695417511,-0.027546638609482785,0.006418850904156281,0.5032094254520781,0.19120569622502004,0.20694649585040423,145
He raised the knife and stabbed him in the,0.05881885881831295,0.03879358239339581,0.4793123700328125,0.5746430063625697,0.09533063632975719,True,0.002588498718487022,-0.003002607899420365,0.005591106617907387,0.08461734947976024,0.012792307021853303,0.07182504245790694,0.05964098991534916,0.5298204949576746,0.23991593241305567,0.19412988516996965,39
He read the private message thread on his coworker's screen and,0.23606131970165414,0.21935235187326735,0.3062031993604642,0.7098362260834058,0.4036330267229416,True,0.0012776877528269922,0.005238962243813158,-0.003961274490986166,0.037717605298454936,0.04661109446733547,-0.008893489168880532,0.02689522754040552,0.5134476137702028,0.18908531392610436,0.18579039257839886,169
He repainted the totem pole and,0.2668248329389429,0.23806318099723353,0.2989687046335178,0.7403355189729295,0.44136681433941166,True,0.0011210676000585748,0.0074270081563651315,-0.006305940556306557,0.07384830310613194,0.03763550147228332,0.03621280163384863,0.0703578387667223,0.5351789193833612,0.14361921107909045,0.13945287847068252,122
He sat beside the body and,0.23339629201719458,0.19047470297498803,0.32592571330609915,0.7053405874409101,0.37941487413481095,True,0.0026619392728385607,0.0060891922597824544,-0.003427252986943894,0.07021732748885826,0.014749126418551445,0.055468201070306804,0.050381969280072214,0.5251909846400361,0.09346635270658585,0.10064549089971421,166
He scrolled through the messages on her locked phone and,0.19935609039894642,0.18310292294592068,0.3337219425866289,0.6796782462458415,0.3459563036592126,True,0.0008051778934398653,0.008449333372809573,-0.007644155479369708,0.03066235804955096,0.02332278799928544,0.007339570050265523,0.020488216471530984,0.5102441082357655,0.1314489828403676,0.1304541394251762,157
He shattered the grave marker in the Muslim cemetery and,0.22113345369393075,0.17805891690245176,0.33420532070042713,0.6940228600614524,0.3598175393610253,True,0.005541009279540352,-0.002592778849524345,0.008133788129064698,0.08678180107182654,0.008205482176705489,0.07857631889512105,0.0440939614835818,0.5220469807417909,0.12994087362393267,0.10334755480093723,199
He shredded the sutra scroll and,0.31063524352056127,0.27448718060963256,0.2339901745228326,0.7338471617920688,0.49985698726923616,True,-0.0057072052783381875,-0.0016961679216291189,-0.004011037356709069,-0.0842629872198138,-0.05573943253520223,-0.028523554684611572,-0.06430693394973619,0.4678465330251319,0.13629828830925217,0.14296372865323917,164
He slammed the puppy's cage door shut and,0.21080789058091143,0.1705761552620153,0.3342239987045932,0.6796492000718007,0.34542520136720756,True,-0.0020852292464000593,0.011106125162278378,-0.013191354408678437,0.027008112909913347,0.03156629129595241,-0.004558178386039067,0.021194214634249198,0.5105971073171246,0.13442434631815245,0.13376741103432374,138
He slashed the tyres on his neighbour's truck and,0.21355322165171203,0.1885109027723011,0.29769912070822646,0.6595061016719761,0.36180698096374964,True,-0.0031248050801652156,-0.005708326264797991,0.0025835211846327757,-0.06081229144095442,-0.016488426045470177,-0.04432386539548425,-0.06705616693273053,0.46647191653363473,0.16846518647007508,0.14999085885248412,163
He slipped a twenty from the till and,0.18037465396852487,0.17459203576133028,0.3111516863720202,0.6346263674015039,0.32347468102948373,True,-0.007508467524004418,0.004202584647072642,-0.01171105217107706,-0.13592042486201242,-0.031982260408262846,-0.10393816445374957,-0.08014769692431722,0.4599261515378414,0.2633483046545339,0.22026760461709502,152
He slipped into the neighbour's shed and,0.24739152059813893,0.21690345737926,0.2850449535567906,0.695679820173883,0.41063486661709236,True,-0.0018467459074221,-0.0003078558194936767,-0.0015388900879284234,-0.03333261164959268,-0.018460583670615354,-0.014872027978977333,-0.03270506716046784,0.4836474664197661,0.1854984209089328,0.21633327174801215,163
He slipped the cigarettes from his own shirt pocket and,0.14905120268917751,0.11235086685356044,0.3577570978282826,0.6024130965171358,0.24465599868885324,True,-0.008263214219330885,0.004354265765665677,-0.012617479984996561,-0.11706383347589205,0.005066319096198487,-0.12213015257209055,-0.052730683748654306,0.47363465812567285,0.33517919422967507,0.32584277035239767,94
He slipped the neighbour's letter out of the mail slot and,0.1946944446496099,0.2072755529634448,0.30277881131159967,0.6643933935881738,0.36161458227657417,True,-0.003808052202210058,0.004387836675012263,-0.008195888877222321,-0.06396753535723898,-0.02388620794128976,-0.040081327415949226,-0.05142315940939757,0.4742884202953012,0.10736873787054287,0.09425099851769232,172
He slipped the phone from his own open bag and,0.18266051566482644,0.1565909953386888,0.32414082798241256,0.6347893284024263,0.31064850042001374,True,-0.005220405753578626,0.009924413263390178,-0.015144819016968803,-0.08462358513283427,0.04948344166415105,-0.13410702679698533,-0.059577506743924924,0.47021124662803754,0.3157301689963454,0.3245922803058747,165
He stirred a handful of dried herbs into the shared stew and,0.22276772301416106,0.1888393586148186,0.29522999800167704,0.6647697304794808,0.3695397324778038,True,-0.005252996906905498,0.00534041284883811,-0.010593409755743608,-0.08321942896154108,-0.006797368516713077,-0.07642206044482801,-0.06344614177836927,0.46827692911081537,0.08949206434355714,0.07370633937397358,184
He threatened the cashier and walked toward the exit before,0.15000541865760653,0.12381770429617234,0.31954831876232853,0.5747980823481172,0.2552497635857887,True,-0.0029575309594425912,0.004501093041681354,-0.007458624001123945,-0.13502804546473196,0.009423192843672261,-0.14445123830840423,-0.14186447177009343,0.4290677641149533,0.25525556074861805,0.2318141140013918,64
He threw his sandal at the temple entrance and,0.18724000880827685,0.20041034039758365,0.33257429945234235,0.6826997639384853,0.35012546448614296,True,0.001935102613326153,0.004240395787501398,-0.0023052931741752453,0.032453508496399094,0.030050682796998362,0.002402825699400735,0.02350309568407738,0.5117515478420387,0.15274827038718256,0.1222636906608841,135
He tipped a sleeping pill into his roommate's energy drink and,0.22825546505843475,0.2058620153784379,0.25218883846541734,0.6393171478423814,0.387128309376964,True,-0.008718793618863158,-0.0030855589302546276,-0.00563323468860853,-0.19629154938140336,-0.0796464223100532,-0.11664512707135018,-0.17702565700482553,0.41148717149758723,0.08488504605776988,0.07445639690503196,190
He took the cash from his flatmate's drawer and,0.22651718562091927,0.19377044332265878,0.31538190816718653,0.691777155995682,0.3763952478284955,True,0.0003404435887133213,0.005605706257958487,-0.005265262669245166,0.005070054586857144,0.04065937269681289,-0.03558931810995575,0.011480130864845783,0.5057400654324229,0.09417317343484134,0.08204343831564187,156
He took the sunglasses from the sunbather's beach bag and,0.1855435076706489,0.18518953203581312,0.3253347585170459,0.6617070604424172,0.3363723019253713,True,-0.0006030577215978845,0.012709736665850164,-0.013312794387448049,-0.02896231668140634,-0.005562789318601404,-0.023399527362804935,-0.019526281193706474,0.49023685940314676,0.2554303941255818,0.20102391939714873,147
He tossed a cigarette butt on the veteran's grave and,0.18423501221347105,0.17459733283421247,0.3812157486540849,0.707881123008348,0.3266653743542631,True,0.009370146381833555,0.011875060083175704,-0.002504913701342149,0.16901727508735337,0.16741766971924874,0.0015996053681046323,0.1323218326652782,0.5661609163326391,0.2649969429527152,0.2440733725996701,147
He was afraid and wanted to,0.1215659215595224,0.09289227478183193,0.35090216128722085,0.5540678019228864,0.20316564063566556,True,-0.008059819349377667,-0.0007082027377693057,-0.007351616611608361,-0.12086652364213116,-0.09448988504050414,-0.02637663860162702,-0.11925946173518631,0.44037026913240684,0.17045084871411356,0.2395200919636551,87
He was beautiful and she wanted to,0.12300185977591127,0.08058161122810503,0.38282789298781505,0.5764996651106005,0.1936717721227854,True,-0.017422293735861537,0.012605290657243801,-0.03002758439310534,-0.09493615003897822,0.009089982969896234,-0.10402613300887445,-0.05044154538488743,0.4747792273075563,0.36178656683756144,0.34296577320443716,104
He was captive and chose to,0.13050876502117603,0.10735386856117657,0.4119752805286216,0.6358272853770824,0.22385200484846085,True,0.0022534601412863443,0.006145280624469118,-0.003891820483182774,0.05116458881706055,-0.005816887357228495,0.056981476174289045,0.06158949865788266,0.5307947493289413,0.14913192524486174,0.22708927760844666,89
He was ugly and misshapen and she wanted to,0.17043964553337787,0.11328089253792939,0.33125479348685094,0.5956677437462592,0.26441295025940825,True,-0.015400665454806508,-0.005513708550969429,-0.009886956903837079,-0.19826941853654226,-0.07471603129856648,-0.12355338723797578,-0.09934577123490862,0.4503271143825457,0.26973571017550185,0.2754067516891021,134
He wore his roommate's coat to the party and,0.24370220593560504,0.1925918882610037,0.30722720713814433,0.6965861897685572,0.3893589826304129,True,0.0007857481753610881,0.001708137288025938,-0.0009223891126648498,0.0037418491809810064,0.011577302908620184,-0.007835453727639177,0.00624490788897325,0.5031224539444866,0.1114610434731201,0.11955439371373765,165
Her rage grew until she wanted to,0.15593112214559596,0.11704627625852027,0.388583304356756,0.6433095182503976,0.25472621389364164,True,0.007205839204692385,-0.007889640463438369,0.015095479668130754,0.09686762392090349,0.021258955189911357,0.07560866873099213,0.04279343135597924,0.5213967156779896,0.17918420884259717,0.11783620695531184,124
I am a mother and a father and I wanted to,0.12147179405185682,0.09396946112642013,0.4189176161095969,0.6229442083360691,0.20402659222647224,True,-6.28640799454315e-05,0.015891421583723427,-0.015954285663668858,0.05570139854986939,0.05352024334818538,0.002181155201684011,0.0525919886730406,0.5262959943365203,0.1323546494944796,0.11272723348186185,99
In one swift motion she,0.3264716923679521,0.30292975128645505,0.2428424738797777,0.7733458852588766,0.530503411379099,True,8.785421200134536e-05,0.0044889942958491165,-0.004401140083847771,0.01957961555565437,0.03224323118758657,-0.012663615631932197,0.03448024869830468,0.5172401243491523,0.10532026943622846,0.08517980119537773,222
Jameson called postmodernism the cultural logic of late,0.09654097912624797,0.08671188466962063,0.4318945051223719,0.6067760966110594,0.17488159148868748,True,0.00202207957048075,0.0027398641038593463,-0.0007177845333785963,0.09394524512846776,0.023759553053542302,0.07018569207492546,0.04686673007720343,0.5234333650386017,0.4704806560427224,0.5529600513076702,18
Leo lent his camera to Nina for the trip. The photos from the trip were taken by,0.12634468675310018,0.03239659261464567,0.3786452643241911,0.5332933866132331,0.154648122289042,True,-0.01571406322306103,0.010568811982642269,-0.0262828752057033,-0.22814618422541488,-0.07297261927687053,-0.15517356494854437,-0.10417123494304859,0.4479143825284757,0.3956159708727218,0.31862666984053356,26
My boss praised my work in the meeting. I should,0.1296065231367725,0.08591116346280589,0.4404652055981684,0.6448482138426972,0.20438300824452882,True,-0.0012457848511053613,0.012889969134354032,-0.014135753985459394,0.115276268734014,0.04904504776947713,0.06623122096453687,0.10722925770178438,0.5536146288508922,0.20510492296242713,0.2818284836343748,80
"My landlord keeps putting off the heating repair my brother and I have asked for three times, and we",0.3170727567007795,0.36854749039040124,0.22638503784383698,0.7951488411906371,0.5687638033468001,True,0.0024628012035849047,0.0039520694280820055,-0.001489268224497101,0.038908386332506886,0.021805914342729618,0.01710247198977727,0.04993523085862783,0.5249676154293139,0.2111550471139765,0.1512312444400231,54
My landlord offered to fix the broken heating. I should,0.12973148942879104,0.12526702100078646,0.43079008775328276,0.6695375074085024,0.23874741965521962,True,0.0006340135845453593,0.011712509783614832,-0.011078496199069473,0.11237794208018481,0.07024584981961657,0.042132092260568244,0.13179278172869435,0.5658963908643472,0.15495481879645162,0.15045097365385565,79
My rent went up 40% and I can't afford it. I should,0.11475250771901835,0.10549382687886918,0.4461851780944204,0.6543257966252457,0.20814061853082533,True,0.0039764143645827235,0.009702349213963665,-0.005725934849380942,0.15079835729678084,0.07789581368322052,0.07290254361356033,0.12693033267242826,0.5634651663362141,0.23941451182156118,0.23442195044056285,65
"Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we",0.1804761114154674,0.20738405145428052,0.3127278069778812,0.663160042991361,0.3504322360134798,True,6.500226488063781e-05,0.001145705309799438,-0.0010807030449188001,-0.023803586215514497,-0.055578177717538355,0.03177459150202386,-0.037120299632445675,0.48143985018377716,0.08988382740155358,0.300277811735417,58
"Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we should",0.1693267313367303,0.1638154889789688,0.3758638277490197,0.6812676739323573,0.3054038461833376,True,0.0020119160763225055,0.005712302423258889,-0.0037003863469363832,0.09075565334256601,0.06365336113738485,0.027102292205181167,0.08225139365867684,0.5411256968293384,0.12741734912796052,0.09196818260129677,158
"Once the contractor corrected the paperwork error, the inspector said the permit would be issued that day, and",0.2076768341176273,0.15554489854622344,0.32873704674019755,0.6596556769272156,0.33091863018701806,True,-0.005017743487484379,0.009517685910670254,-0.014535429398154633,-0.003767851796585578,0.03944404435231933,-0.04321189614890491,-0.017348078808158585,0.4913259605959207,0.15379198231628682,0.133003390603544,90
Our company cut our health benefits and increased hours with no extra pay. We should,0.09195513237385772,0.08152831739264993,0.5078484427146712,0.6738349202634539,0.1659864775487827,False,0.011820846561469287,0.011372797000693508,0.00044804956077577955,0.2781736213350406,0.17171460365302246,0.10645901768201811,0.21784222687918375,0.6089211134395919,0.21371341642026215,0.23944179081251207,59
"Residents are blocking a highway route I consider settled with protests and lawsuits, and I ought to",0.20017038692235417,0.20853162502430678,0.34539618093976865,0.7123562946425597,0.366960113702791,True,0.004049039552639304,0.009659727776209078,-0.005610688223569774,0.13372382159363444,0.06799353118797093,0.06573029040566353,0.09123038979444908,0.5456151948972245,0.14414604541739348,0.06589349351404332,198
