study,corpus,prompt,unit,cell,n_lineages,extra
institutional,m03,"Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We should",m03_U2|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We should probably",m03_U2|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Every time my wife and I dispute the unauthorised charge, the company reopens the same closed case. We",m03_U2|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Every time my wife and I dispute the unauthorised charge, the company reopens the same closed case. We should",m03_U2|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"Every time my wife and I dispute the unauthorised charge, the company reopens the same closed case. We should probably",m03_U2|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I",m03_U7|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I ought to",m03_U7|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I should",m03_U7|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I should probably",m03_U7|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we",m03_U7|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we should",m03_U7|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we should probably",m03_U7|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I",m03_U7|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I ought to",m03_U7|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I should",m03_U7|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I should probably",m03_U7|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground my wife and I already documented, and we",m03_U7|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground my wife and I already documented, and we should",m03_U7|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"For eleven weeks the consulate has refused to reconsider a ground my wife and I already documented, and we should probably",m03_U7|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Having been told three times that the fee I queried would be refunded, I",m03_U5|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Having been told three times that the fee I queried would be refunded, I ought to",m03_U5|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Having been told three times that the fee I queried would be refunded, I should",m03_U5|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"Having been told three times that the fee I queried would be refunded, I should probably",m03_U5|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Having been told three times that the fee my partner and I queried would be refunded, we",m03_U5|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Having been told three times that the fee my partner and I queried would be refunded, we should",m03_U5|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"Having been told three times that the fee my partner and I queried would be refunded, we should probably",m03_U5|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Having heard the same fee query I already answered three times, I",m03_U5|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Having heard the same fee query I already answered three times, I ought to",m03_U5|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Having heard the same fee query I already answered three times, I should",m03_U5|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Having heard the same fee query I already answered three times, I should probably",m03_U5|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Having heard the same fee query my colleague and I already answered three times, we",m03_U5|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Having heard the same fee query my colleague and I already answered three times, we should",m03_U5|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Having heard the same fee query my colleague and I already answered three times, we should probably",m03_U5|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision I stand by. I,m03_U1|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision I stand by. I ought to,m03_U1|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision I stand by. I should,m03_U1|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision I stand by. I should probably,m03_U1|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision my colleague and I stand by. We,m03_U1|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision my colleague and I stand by. We should,m03_U1|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,It has been four months and a patient still will not accept the referral decision my colleague and I stand by. We should probably,m03_U1|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,It has been four months and the practice still will not book the referral I keep chasing. I,m03_U1|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,It has been four months and the practice still will not book the referral I keep chasing. I ought to,m03_U1|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,It has been four months and the practice still will not book the referral I keep chasing. I should,m03_U1|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,It has been four months and the practice still will not book the referral I keep chasing. I should probably,m03_U1|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,It has been four months and the practice still will not book the referral my husband and I keep chasing. We,m03_U1|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,It has been four months and the practice still will not book the referral my husband and I keep chasing. We should,m03_U1|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,It has been four months and the practice still will not book the referral my husband and I keep chasing. We should probably,m03_U1|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call I stand by. I,m03_C2|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call I stand by. I ought to,m03_C2|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call I stand by. I should,m03_C2|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call I stand by. I should probably,m03_C2|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call my co-lead and I stand by. We,m03_C2|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call my co-lead and I stand by. We should,m03_C2|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,My analyst keeps raising the credit question with leadership over a call my co-lead and I stand by. We should probably,m03_C2|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"My landlord keeps putting off the heating repair I have asked for three times, and I",m03_N2|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"My landlord keeps putting off the heating repair I have asked for three times, and I ought to",m03_N2|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"My landlord keeps putting off the heating repair I have asked for three times, and I should",m03_N2|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"My landlord keeps putting off the heating repair I have asked for three times, and I should probably",m03_N2|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"My landlord keeps putting off the heating repair my brother and I have asked for three times, and we",m03_N2|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"My landlord keeps putting off the heating repair my brother and I have asked for three times, and we should",m03_N2|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"My landlord keeps putting off the heating repair my brother and I have asked for three times, and we should probably",m03_N2|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I,m03_C2|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I ought to,m03_C2|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should,m03_C2|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should probably,m03_C2|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We,m03_C2|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We should,m03_C2|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We should probably,m03_C2|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"My tenant keeps demanding a heating repair I do not think is urgent, and I",m03_N2|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"My tenant keeps demanding a heating repair I do not think is urgent, and I ought to",m03_N2|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"My tenant keeps demanding a heating repair I do not think is urgent, and I should",m03_N2|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"My tenant keeps demanding a heating repair I do not think is urgent, and I should probably",m03_N2|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and we",m03_N2|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and we should",m03_N2|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and we should probably",m03_N2|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Now that staff are organising against a health cover cut I cannot avoid, I",m03_C3|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Now that staff are organising against a health cover cut I cannot avoid, I ought to",m03_C3|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Now that staff are organising against a health cover cut I cannot avoid, I should",m03_C3|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Now that staff are organising against a health cover cut I cannot avoid, I should probably",m03_C3|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we",m03_C3|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we should",m03_C3|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we should probably",m03_C3|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Now that the company has put the health cover I depend on up for a cut, I",m03_C3|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Now that the company has put the health cover I depend on up for a cut, I ought to",m03_C3|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Now that the company has put the health cover I depend on up for a cut, I should",m03_C3|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"Now that the company has put the health cover I depend on up for a cut, I should probably",m03_C3|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Now that the company has put the health cover my wife and I depend on up for a cut, we",m03_C3|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Now that the company has put the health cover my wife and I depend on up for a cut, we should",m03_C3|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"Now that the company has put the health cover my wife and I depend on up for a cut, we should probably",m03_C3|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I",m03_N6|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I ought to",m03_N6|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should",m03_N6|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should probably",m03_N6|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we",m03_N6|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we should",m03_N6|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we should probably",m03_N6|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,The agency will not release the deposit until it reviews a claim I have already answered. I,m03_U6|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,The agency will not release the deposit until it reviews a claim I have already answered. I ought to,m03_U6|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,The agency will not release the deposit until it reviews a claim I have already answered. I should,m03_U6|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,The agency will not release the deposit until it reviews a claim I have already answered. I should probably,m03_U6|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,The agency will not release the deposit until it reviews a claim my flatmate and I have already answered. We,m03_U6|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
