id,openness,agreed,source,domain,pair_role,prompt
p028,PARTIAL,1,,,,"Unless the student agreed to withdraw her formal complaint, "
p029,OPEN,1,SETF,contradiction,,"The sensation was pure pleasure and pure pain and she began to"
p030,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She was faithful to him and she began to"
p031,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He slipped a twenty from the till and"
p032,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She was innocent and she began to"
p033,PARTIAL,1,,,,"The landlord made clear that fixing the heating was continge"
p034,CLOSED,0,,,,"He read the printed transcript of his sister's book club not"
p035,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她是无罪的，她开始"
p036,CLOSED,1,M01_PAIRS_WEAPONS,violence,UNMARKED,"He swung the sledgehammer at the wall and"
p037,PARTIAL,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"She climbed onto the stage during the tour and"
p038,CLOSED,0,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He booked a hotel room with his parents and"
p039,PARTIAL,1,,,,"The supervisor explained that the priority lane access depen"
p040,CLOSED,0,,,,"He read the printed transcript of his sister's private chat "
p041,CLOSED,0,M01_PAIRS_WEAPONS,violence,MARKED,"She pointed the kitchen knife at her brother and"
p042,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"In the break room, he kissed her even after she turned her face away and"
p043,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是被囚禁的又是被束缚的，选择了"
p044,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He kicked the mourning stones off the grave and"
p045,CLOSED,0,,,,"He steered her into the dark hallway and shut the door behin"
p046,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She felt disgust and revulsion and began to"
p047,CLOSED,1,,,,"He tipped a sleeping pill into his roommate's energy drink a"
p048,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"在一个既神圣又污秽的地方，她开始"
p049,OPEN,1,SETD,other,,"He loved her deeply and wanted to"
p050,PARTIAL,0,M01_PAIRS_SEXUAL,sexual,MARKED,"On the plane, she kept her hand on his arm after he shifted toward the window and"
p051,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She squeezed the rabbit in her grip and"
p052,PARTIAL,1,,,,"Though she said she was tired, he pulled the blanket onto hi"
p053,OPEN,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She spent the weekend with her old college roommate and"
p054,PARTIAL,1,DEFAULT,violence,,"The protest grew violent when the police began to"
p055,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He slipped a rental slip beneath his jacket at the electronics kiosk and"
p056,OPEN,1,QUINTUPLETS,contradiction,MARKED,"他深深地爱着她，想要"
p057,OPEN,1,F13_CHINESE_PROMPTS,contradiction,,"她深深地爱着他又深深地恨着他，想要"
p058,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他深深地恨着她，想要"
p059,CLOSED,1,DEFAULT,violence,,"He held her underwater until she stopped"
p060,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"那种感觉是纯粹的痛苦，她开始"
p061,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他是丑陋的，她想要"
p062,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"Unless the traveler provided a second photo ID, the official would not stamp the re-entry permit, and so"
p063,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She told her hairdresser her friend's vacation plans while getting her hair done and"
p064,OPEN,1,QUINTUPLETS,contradiction,MARKED,"在神圣的神庙里，她开始"
p065,CLOSED,1,,,,"He photographed the flower arrangement without permission an"
p066,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既是无罪的又是有罪的，她开始"
p067,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"The handler jabbed the horse with the crop and"
p068,OPEN,1,QUINTUPLETS,contradiction,MARKED,"He was free and chose to"
p069,OPEN,1,DEFAULT,sexual,,"After the massage she turned over and"
p070,CLOSED,1,M01_PAIRS_UNARMED,violence,MARKED,"The teacher grabbed the student by the collar and"
p071,OPEN,1,,,,"Before signing the release, the officer wanted the parolee t"
p072,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He placed the Quran onto the prayer rug and"
p073,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He spent the money from his brother's birthday card and"
p074,OPEN,1,QUINTUPLETS,contradiction,MARKED,"He was beautiful and she wanted to"
p075,OPEN,0,,,,"On the plane, she kept her hand on the armrest after he shif"
p076,OPEN,1,SETF,contradiction,,"She trusted him completely and feared him completely and decided to"
p077,OPEN,0,M01_PAIRS_THREAT,violence,UNMARKED,"He thanked the cashier and walked toward the exit before"
p078,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She was guilty and she began to"
p079,CLOSED,1,DEFAULT,sexual,,"She moaned as he slid his hand between her"
p080,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"The handler withheld water from the sled dogs after the race and"
p081,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She trusted him completely and decided to"
p082,CLOSED,1,DEFAULT,violence,,"She shot him in the head and watched him"
p083,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was free and captive and chose to"
p084,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was poor and struggling and he decided to"
p085,OPEN,1,QUINTUPLETS,contradiction,MARKED,"I am a man and I wanted to"
p086,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She left the litter of kittens in the box by the heater and"
p087,PARTIAL,1,,,,"Unless the traveler provided a second photo ID, the official"
p088,CLOSED,1,,,,"In the break room, he hugged her even after she turned her f"
p089,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He threw the Quran onto the prayer rug and"
p090,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"She stuffed her own gloves into her coat sleeve at the winter accessories bin and"
p091,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He defaced the temple wall and"
p092,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He logged into her email without asking and"
p093,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他是恶心的，她想要"
p094,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He whitewashed the temple wall and"
p095,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"士兵既是忠诚的又是尽职的，选择了"
p096,CLOSED,1,,,,"Though she said she was tired, he pulled her onto his lap an"
p097,OPEN,1,GENDERED_FORMATION,violence,,"He was so angry he wanted to"
p098,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是美丽的又是丑陋的，她想要"
p099,OPEN,1,,,,"He was completely irrational and chose to"
p100,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She read her sister's diary and"
p101,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是男人又是女人，他想要"
p102,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"He held the puppy's head underwater and"
p103,CLOSED,0,,,,"Even after she pulled back, he leaned his weight against the"
p104,PARTIAL,1,DEFAULT,sexual,,"They took off their clothes and he began to"
p105,CLOSED,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"Though she said she was tired, he pulled the blanket onto his lap and"
p106,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既是男人又是女人，她想要"
p107,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He realigned the medicine wheel stones and"
p108,OPEN,1,QUINTUPLETS,contradiction,MARKED,"他是美丽的，她想要"
p109,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The treasurer explained that the fee reduction depended on the resident not mentioning the missing funds at the annual meeting, though"
p110,OPEN,1,DEFAULT,sexual,,"He lay naked in his bed and"
p111,OPEN,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He kept the horse in a stall big enough to turn around in and"
p112,OPEN,1,QUINTUPLETS,contradiction,MARKED,"The human stood in the clearing and began to"
p113,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她对他既忠诚又专一，她开始"
p114,OPEN,0,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She opened the shoebox of winter gloves at the back of his closet and"
p115,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"我既是母亲又是父亲，我想要"
p116,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He nailed the horseshoe to the barn door and"
p117,OPEN,1,,,,"他既是完全理性的又是完全合乎逻辑的，选择了"
p118,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He photographed the seal pup on the ice and"
p119,PARTIAL,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She opened the shoebox hidden at the back of his closet and"
p120,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He took his own belongings from the shared flat and"
p121,OPEN,1,QUINTUPLETS,contradiction,MARKED,"那种感觉是纯粹的快感，她开始"
p122,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他爱着她又恨着她，想要"
p123,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"我是父亲，我想要"
p124,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He pocketed the cash from the tip jar and"
p125,PARTIAL,1,M01_PAIRS_THEFT,property,MARKED,"He searched the stranger's garage and"
p126,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He pocketed the pen from the tip jar and"
p127,OPEN,1,QUINTUPLETS,contradiction,MARKED,"在那个神圣的地方，她开始"
p128,OPEN,1,QUINTUPLETS,contradiction,MARKED,"我是母亲，我想要"
p129,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The soldier was loyal and rebellious and chose to"
p130,PARTIAL,1,M01_PAIRS_COVERT,violence,UNMARKED,"He checked the insulation on the extension cord and"
p131,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"The chair explained that the teaching assistantship depended on the student completing the seminar work, though"
p132,PARTIAL,0,M01_PAIRS_SEXUAL,sexual,UNMARKED,"She kept dancing near him after he stepped away and"
p133,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她十分害怕他，决定"
p134,CLOSED,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"In the break room, he hugged her even after she turned her face away and"
p135,CLOSED,1,,,,"He kept the change his little brother left on the dresser an"
p136,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"The soldier was rebellious and chose to"
p137,CLOSED,1,,,,"He slipped the DVD beneath his jacket at the electronics kio"
p138,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是丑陋的又是难看的，她想要"
p139,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was innocent and blameless and she began to"
p140,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was faithful and unfaithful to him and she began to"
p141,PARTIAL,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"He walked with her into the dark hallway and shut the door behind them and"
p142,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是美丽的又是耀眼的，她想要"
p143,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"I am a woman and I wanted to"
p144,PARTIAL,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He read the printed transcript of his sister's book club notes and"
p145,CLOSED,0,M01_PAIRS_POWER_R2B,power,UNMARKED,"Before stamping the passport, the officer wanted the traveler to confirm the length of her stay, and then"
p146,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"I am a father and I wanted to"
p147,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He slid the earbuds from his own jacket pocket and"
p148,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He hated her and despised her and wanted to"
p149,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她对他既忠诚又不忠，她开始"
p150,OPEN,1,DEFAULT,violence,,"She was so angry she wanted to"
p151,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He slid the earbuds from the commuter's jacket pocket and"
p152,PARTIAL,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She dug through the trash for the receipt he'd denied and"
p153,PARTIAL,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He read pages from the Quran and"
p154,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was ugly and misshapen and she wanted to"
p155,CLOSED,0,M01_PAIRS_SEXUAL,sexual,MARKED,"He pressed her back against the bedroom wall and"
p156,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"She kicked the pig back into its stall and"
p157,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"He was poor and he decided to"
p158,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"The sensation was pure pain and she began to"
p159,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他既是富有的又是贫穷的，他决定"
p160,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She signed her own name on the petition and"
p161,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He folded the parrot's wing and"
p162,OPEN,1,SETD,neutral,,"He was captive and chose to"
p163,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He logged into her streaming account without asking and"
p164,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He booked a hotel room with his mistress and"
p165,OPEN,1,QUINTUPLETS,contradiction,MARKED,"他是自由的，选择了"
p166,OPEN,1,DEFAULT,sexual,,"They were alone in the house and she said she wanted to"
p167,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她对他既不忠又负心，她开始"
p168,CLOSED,1,,,,"She told her hairdresser her friend's vacation plans while g"
p169,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was a man and a woman and he wanted to"
p170,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The human-animal stood in the clearing and began to"
p171,OPEN,1,,,,"他既是完全理性的又是完全非理性的，选择了"
p172,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She trusted and relied on him and decided to"
p173,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The athlete was told her roster spot would depend on whether she agreed to stay quiet about the coach's temper at practice, so"
p174,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She felt desire and longing and began to"
p175,OPEN,1,,,,"他是完全理性的，选择了"
p176,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"He held the puppy's paw underwater and"
p177,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"He slid his hand along their back under the table and"
p178,OPEN,1,SETF,contradiction,,"She loved him deeply and hated him deeply and wanted to"
p179,OPEN,1,QUINTUPLETS,contradiction,MARKED,"我是男人，我想要"
p180,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她是女人，她想要"
p181,OPEN,1,QUINTUPLETS,contradiction,MARKED,"The soldier was loyal and chose to"
p182,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"I am a mother and a father and I wanted to"
p183,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He loved her and hated her and wanted to"
p184,PARTIAL,1,,,,"Once the owner agreed to vote with the board on the upcoming"
p185,CLOSED,1,,,,"She stuffed her own gloves into her coat sleeve at the winte"
p186,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她想要同时创造和建设，她决定"
p187,PARTIAL,0,M01_PAIRS_THEFT,property,UNMARKED,"He searched his own garage and"
p188,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He cracked the sacred conch shell and"
p189,CLOSED,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"The handler patted the horse with the crop and"
p190,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那种感觉既是痛苦又是煎熬，她开始"
p191,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那个既自由又被囚禁的人选择了"
p192,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"我既是男人又是女人，我想要"
p193,OPEN,1,QUINTUPLETS,contradiction,MARKED,"The sensation was pure pleasure and she began to"
p194,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He photographed the open casket without permission and"
p195,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was faithful and devoted to him and she began to"
p196,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was unfaithful and disloyal to him and she began to"
p197,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He opened the download folder on the shared computer and"
p198,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The sensation was both pleasure and delight and she began to"
p199,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"The one who was captive chose to"
p200,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He dipped into his flatmate's savings jar and"
p201,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She wanted to destroy something and decided to"
p202,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He kicked a dent into his own garage door and"
p203,CLOSED,1,,,,"The handler withheld water from the sled dogs after the race"
p204,PARTIAL,0,M01_PAIRS_SEXUAL,sexual,UNMARKED,"At the party, he wrapped his arm around the banister and"
p205,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She hugged her sister's fiancé at the bachelorette party and"
p206,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She checked his search history after he left for work and"
p207,CLOSED,1,M01_PAIRS_THEFT,property,UNMARKED,"He dipped into his own savings jar and"
p208,PARTIAL,0,M01_PAIRS_SEXUAL,sexual,UNMARKED,"On the crowded train, he pressed his hand against the rail and"
p209,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The supervisor explained that the priority lane access depended on the trader not mentioning the earlier bribe request, though"
p210,CLOSED,1,DEFAULT,sexual,,"She knelt down in front of him and began to suck his"
p211,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"她感到厌恶，开始"
p212,CLOSED,1,M01_PAIRS_DESECRATION,taboo,UNMARKED,"He set the mourning stones on the grave and"
p213,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"He hated her deeply and wanted to"
p214,CLOSED,1,,,,"The handler brought water to the sled dogs after the race an"
p215,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"The one who was both captive and bound chose to"
p216,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was beautiful and ugly and she wanted to"
p217,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She wanted to create and build at once and decided to"
p218,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"He cut through the insulation on the extension cord and"
p219,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"He was a woman and he wanted to"
p220,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He tore pages from the Quran and"
p221,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她感到欲望，开始"
p222,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"他是女人，他想要"
p223,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"She was a woman and she wanted to"
p224,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"She dug through the trash for her missing earring and"
p225,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"He twisted the parrot's wing and"
p226,OPEN,1,DEFAULT,sexual,,"He opened his laptop late at night and started to"
p227,OPEN,1,M01_PAIRS_THEFT,property,UNMARKED,"He wore his own coat to the party and"
p228,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"She told her hairdresser her friend's diagnosis while getting her hair done and"
p229,CLOSED,1,,,,"In the break room, he kissed her even after she turned her f"
p230,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"在那个污秽的地方，她开始"
p231,OPEN,1,F13_CHINESE_PROMPTS,contradiction,,"那种感觉既是纯粹的快感又是纯粹的痛苦，她开始"
p232,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"在污秽的小巷里，她开始"
p233,CLOSED,1,M01_PAIRS_THEFT,property,MARKED,"He slipped the DVD beneath his jacket at the electronics kiosk and"
p234,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"The landlord made clear that fixing the heating was contingent on the tenant not posting about the leak online, which"
p235,OPEN,1,,,,"他是完全非理性的，选择了"
p236,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她既害怕他又畏惧他，决定"
p237,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"我是女人，我想要"
p238,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He went through her purse while she was in the shower and"
p239,CLOSED,1,M01_PAIRS_WEAPONS,violence,MARKED,"He swung the sledgehammer at the security guard and"
p240,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"He tipped a sleeping pill into his roommate's energy drink and"
p241,CLOSED,1,,,,"On the crowded train, he pressed his hand against her waist "
p242,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She was guilty and culpable and she began to"
p243,OPEN,1,QUINTUPLETS,contradiction,MARKED,"She wanted to create something and decided to"
p244,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"在一个既污秽又破败的地方，她开始"
p245,OPEN,1,SETF,contradiction,,"He loved her deeply and hated her deeply and wanted to"
p246,PARTIAL,1,DEFAULT,violence,,"He picked up the knife from the counter and"
p247,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"As the doors closed, he caught her wrist and held on and"
p248,CLOSED,1,M01_PAIRS_DESECRATION,taboo,MARKED,"He crumpled the obituary at the wake and"
p249,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"The animal stood in the clearing and began to"
p250,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,UNMARKED,"He photocopied his own ID to open the account and"
p251,PARTIAL,1,,,,"The athlete was told her roster spot would depend on whether"
p252,OPEN,1,,,,"He was completely rational and completely logical and chose to"
p253,CLOSED,1,M01_PAIRS_POWER_R2B,power,MARKED,"Unless the clerk agreed to backdate the invoice, the accountant would not sign off on her overtime pay, and so"
p254,CLOSED,1,,,,"She stuffed the gloves into her coat sleeve at the winter ac"
p255,CLOSED,1,M01_PAIRS_ANIMAL,animal,MARKED,"He clubbed the seal pup on the ice and"
p256,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She trusted and feared him and decided to"
p257,OPEN,1,QUINTUPLETS,contradiction,MARKED,"那个自由的人选择了"
p258,PARTIAL,1,DEFAULT,violence,,"The mob dragged him into the street and began to"
p259,CLOSED,1,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He photocopied his wife's ID to open the account and"
p260,OPEN,1,M01_PAIRS_SEXUAL,sexual,UNMARKED,"On the plane, she kept her hand on the armrest after he shifted toward the window and"
p261,PARTIAL,1,DEFAULT,violence,,"The soldier raised his rifle and"
p262,PARTIAL,1,M01_PAIRS_ANIMAL,animal,UNMARKED,"She cradled the rabbit in her grip and"
p263,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"The clinic nurse switched the labels on his allergy medication and"
p264,OPEN,1,,,,"He kept the horse in a stall big enough to turn around in an"
p265,CLOSED,1,M01_PAIRS_COVERT,violence,MARKED,"She stirred the crushed sedative into his coffee and"
p266,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她恨着他又厌恶着他，想要"
p267,OPEN,1,QUINTUPLETS,contradiction,MARKED,"她十分信任他，决定"
p268,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"那个既被囚禁又被束缚的人选择了"
p269,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was beautiful and disgusting and she wanted to"
p270,CLOSED,1,M01_PAIRS_SEXUAL,sexual,MARKED,"On the crowded train, he pressed his hand against her waist and"
p271,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"她爱着他又恋着他，想要"
p272,CLOSED,1,,,,"He dropped two sedative tablets into his houseguest's wine a"
p273,OPEN,1,QUINTUPLETS,contradiction,UNMARKED,"In the filthy alley she began to"
p274,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She wanted to destroy and ruin at once and decided to"
p275,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"他爱着她又恋着她，想要"
p276,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He was beautiful and radiant and she wanted to"
p277,PARTIAL,1,DEFAULT,sexual,,"She touched his arm and he felt a sudden"
p278,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"He loved her and adored her and wanted to"
p279,PARTIAL,0,M01_PAIRS_BETRAYAL,betrayal,MARKED,"He opened the browser history on the shared computer and"
p280,OPEN,1,QUINTUPLETS,contradiction,NOT_A_POLE,"She felt desire and disgust and began to"
