text,basic_idx,orig_idx,jaccard,basic_words,orig_words,basic,original
hemingway.cat-in-the-rain,23,24,1.0,11,11,"""Did you get the cat?"" he asked, putting the book down.","""Did you get the cat?"" he asked, putting the book down."
hemingway.cat-in-the-rain,24,25,1.0,3,3,"""It was gone.""","""It was gone."""
hemingway.cat-in-the-rain,25,26,0.55,19,12,"""Interested where it went to,"" he said, resting his eyes from reading. She took a seat on the bed.","""Wonder where it went to,"" he said, resting his eyes from reading."
hemingway.cat-in-the-rain,26,28,0.8077,36,34,"""I wanted it so much,"" she said. ""I don't know why I wanted it so much. I wanted that poor young cat. It isn't any amusement to be a poor young cat out in the rain.""","""I wanted it so much,"" she said. ""I don't know why I wanted it so much. I wanted that poor kitty. It isn't any fun to be a poor kitty out in the rain."""
hemingway.cat-in-the-rain,27,29,1.0,4,4,George was reading again.,George was reading again.
hemingway.cat-in-the-rain,28,30,0.7941,49,43,"She went over and took a seat in front of the mirror of the dressing table looking at herself with the hand glass. She made observations of her profile, first one side and then the other. Then she made observations of the back of her head and her neck.","She went over and sat in front of the mirror of the dressing table looking at herself with the hand glass. She studied her profile, first one side and then the other. The she studied the back of her head and her neck."
hemingway.cat-in-the-rain,29,31,0.75,27,23,"""Don't you have an opinion it would be a good idea if I let my hair grow out?"" she put a question, looking at her profile again.","""Don't you think it would be a good idea if I let my hair grow out?"" she asked, looking at her profile again."
hemingway.cat-in-the-rain,30,32,0.875,15,15,"George looked up and saw the back of her neck, cut close like a boy's.","George looked up and saw the back of her neck, clipped close like a boy's."
hemingway.cat-in-the-rain,31,33,1.0,7,7,"""I like it the way it is.""","""I like it the way it is."""
hemingway.cat-in-the-rain,32,34,1.0,17,17,"""I get so tired of it,"" she said. ""I get so tired of looking like a boy.""","""I get so tired of it,"" she said. ""I get so tired of looking like a boy."""
hemingway.cat-in-the-rain,33,35,0.7619,19,18,George changed his position in the bed. He hadn't looked away from her since she started to make statements.,George shifted his position in the bed. He hadn't looked away from her since she started to speak.
hemingway.cat-in-the-rain,34,36,1.0,7,7,"""You look pretty darn nice,"" he said.","""You look pretty darn nice,"" he said."
hemingway.cat-in-the-rain,35,37,0.8947,21,21,She put the mirror down on the dresser and went over to the window and looked out. It was getting dark.,She laid the mirror down on the dresser and went over to the window and looked out. It was getting dark.
hemingway.cat-in-the-rain,36,38,0.8,43,41,"""I want to pull my hair back tight and smooth and make a big knot at the back that I can feel,"" she said. ""I desire to have a young cat to sit on my lap and purr when I rub her softly.""","""I want to pull my hair back tight and smooth and make a big knot at the back that I can feel,"" she said. ""I want to have a kitty to sit on my lap and purr when I stroke her."""
hemingway.cat-in-the-rain,37,39,0.7143,6,6,"""Yes?"" George said from the bed.","""Yeah?"" George said from the bed."
hemingway.cat-in-the-rain,38,40,0.7059,50,47,"""And I desire to take food at a table with my own silver and I desire wax light. And I desire it to be spring and I want to brush my hair out in front of a mirror and I desire a young cat and I desire some new clothes.""","""And I want to eat at a table with my own silver and I want candles. And I want it to be spring and I want to brush my hair out in front of a mirror and I want a kitty and I want some new clothes."""
hemingway.cat-in-the-rain,39,41,1.0,14,14,"""Oh, shut up and get something to read,"" George said. He was reading again.","""Oh, shut up and get something to read,"" George said. He was reading again."
hemingway.cat-in-the-rain,40,42,0.9444,19,20,His wife was looking out of the window. It was quite dark now and still raining in the trees.,His wife was looking out of the window. It was quite dark now and still raining in the palm trees.
hemingway.cat-in-the-rain,41,43,0.8889,30,30,"""Anyway, I want a cat,"" she said, ""I want a cat. I want a cat now. If I can't have long hair or any amusement, I can have a cat.""","""Anyway, I want a cat,"" she said, ""I want a cat. I want a cat now. If I can't have long hair or any fun, I can have a cat."""
hemingway.cat-in-the-rain,42,44,0.7692,29,25,George was not giving an ear to it. He was reading his book. His wife looked out of the window where the light had come on in the square.,George was not listening. He was reading his book. His wife looked out of the window where the light had come on in the square.
hemingway.cat-in-the-rain,43,45,0.3636,10,5,Someone gave a sign of having come at the door.,Someone knocked at the door.
hemingway.cat-in-the-rain,44,47,0.3684,36,22,"""Avanti,"" George said. He looked up from his book. In the doorway was the maid. She had a big cat with black, cream and brownish markings pushed tight against her and hung down against her body.",In the doorway stood the maid. She held a big tortoise-shell cat pressed tight against her and swung down against her body.
hemingway.cat-in-the-rain,45,48,0.8462,14,14,"""Excuse me,"" she said, ""the padrone requested me to bring this for the Signora.""","""Excuse me,"" she said, ""the padrone asked me to bring this for the Signora."""
mansfield.garden-party,0,0,0.6667,151,135,"And after all the weather was great. They could not have had a better day for a garden-meeting if they had ordered it, it was all that was desired. Windless, warm, the sky without a cloud. Only the blue was kept from view with a mist of light gold, as it is sometimes in early summer. The gardener had been up since the start of the day, cutting the grass and cleaning them, until the grass and the dark flat rosettes where the daisy plants had been seemed to shine. As for the roses, you could not help feeling they were certain that roses are the only flowers that have strong effect on mind of people at garden-meetings; the only flowers that everybody is certain of knowing. Hundreds, yes, truly hundreds, had come out in a single night; the green plants bent down as though they had been seen by archangels.","And after all the weather was ideal. They could not have had a more perfect day for a garden-party if they had ordered it. Windless, warm, the sky without a cloud. Only the blue was veiled with a haze of light gold, as it is sometimes in early summer. The gardener had been up since dawn, mowing the lawns and sweeping them, until the grass and the dark flat rosettes where the daisy plants had been seemed to shine. As for the roses, you could not help feeling they understood that roses are the only flowers that impress people at garden- parties; the only flowers that everybody is certain of knowing. Hundreds, yes, literally hundreds, had come out in a single night; the green bushes bowed down as though they had been visited by archangels."
mansfield.garden-party,1,1,0.8,15,14,Breakfast was not yet over before the men came to put up the canvas house.,Breakfast was not yet over before the men came to put up the marquee.
mansfield.garden-party,2,2,0.6667,7,8,"""Where do you want it put, mother?""","""Where do you want the marquee put, mother?"""
mansfield.garden-party,3,3,0.5263,37,29,"""My dear child, it's no use asking me. I've made up my mind to give everything to you children this year. Put out of mind I am your mother. Give attention to me as a respected guest.""","""My dear child, it's no use asking me. I'm determined to leave everything to you children this year. Forget I am your mother. Treat me as an honoured guest."""
mansfield.garden-party,4,4,0.9524,50,50,"But Meg could not possibly go and oversee the men. She had washed her hair before breakfast, and she sat drinking her coffee in a green turban, with a dark wet curl stamped on each cheek. Jose, the butterfly, always came down in a silk petticoat and a kimono jacket.","But Meg could not possibly go and supervise the men. She had washed her hair before breakfast, and she sat drinking her coffee in a green turban, with a dark wet curl stamped on each cheek. Jose, the butterfly, always came down in a silk petticoat and a kimono jacket."
mansfield.garden-party,5,5,1.0,9,9,"""You'll have to go, Laura; you're the artistic one.""","""You'll have to go, Laura; you're the artistic one."""
mansfield.garden-party,6,6,0.7083,49,42,"Away Laura flew, still holding her piece of bread-and-butter. It's with so good a taste to have let it be overlooked for eating out of doors, and besides, she loved having to put things in order; she always felt she could do it so much better than anybody else.","Away Laura flew, still holding her piece of bread-and-butter. It's so delicious to have an excuse for eating out of doors, and besides, she loved having to arrange things; she always felt she could do it so much better than anybody else."
mansfield.garden-party,7,7,0.5581,90,75,"Four men in their shirt-arm part of the clothes stood grouped together on the garden footway. They took sticks covered with rolls of canvas, and they had big tool-bags put over their backs. They had a deep effect on mind. Laura desired now that she was not holding that piece of bread-and-butter, but there was nowhere to put it, and she couldn't possibly let it fall. She became red and attempted to look cruel and even a little bit of a person seeing near as she came up to them.","Four men in their shirt-sleeves stood grouped together on the garden path. They carried staves covered with rolls of canvas, and they had big tool-bags slung on their backs. They looked impressive. Laura wished now that she had not got the bread-and-butter, but there was nowhere to put it, and she couldn't possibly throw it away. She blushed and tried to look severe and even a little bit short-sighted as she came up to them."
mansfield.garden-party,8,8,0.6829,36,37,"""Good morning,"" she said, copying her mother's voice. But that sounded so fearfully not natural that she was feeling shame, and talked with stops like a little girl, ""Oh–er–have you come–is it about the canvas house?""","""Good morning,"" she said, copying her mother's voice. But that sounded so fearfully affected that she was ashamed, and stammered like a little girl, ""Oh - er - have you come - is it about the marquee?"""
mansfield.garden-party,9,9,0.6216,37,31,"""That's right, miss,"" said the tallest of the men, a tall and thin, sun-marked fellow, and he changed his tool-bag in position, gave a blow at his straw hat and smiled down at her. ""That's about it.""","""That's right, miss,"" said the tallest of the men, a lanky, freckled fellow, and he shifted his tool-bag, knocked back his straw hat and smiled down at her. ""That's about it."""
mansfield.garden-party,10,10,0.75,73,63,"His smile was so simple, so friendly, that Laura got over her state. What nice eyes he had, small, but such a dark blue! And now she looked at the others, they were smiling too. ""Cheer up (a cry of approval), we won't bite,"" their smile seemed to say. How very nice workmen were! And what a beautiful morning! She mustn't say anything about the morning; she must be business-like. The canvas house.","His smile was so easy, so friendly that Laura recovered. What nice eyes he had, small, but such a dark blue! And now she looked at the others, they were smiling too. ""Cheer up, we won't bite,"" their smile seemed to say. How very nice workmen were! And what a beautiful morning! She mustn't mention the morning; she must be business-like. The marquee."
mansfield.garden-party,11,11,0.6667,10,8,"""Well, what about the lily-space with grass? Would that do?""","""Well, what about the lily-lawn? Would that do?"""
mansfield.garden-party,12,12,0.5714,40,35,"And she pointed to the lily-space with grass with the hand that didn't keep grip of the bread-and-butter. They turned, they looked fixedly in the direction. A little fat boy pushed out his under-lip, and the tall man looked troubled.","And she pointed to the lily-lawn with the hand that didn't hold the bread-and- butter. They turned, they stared in the direction. A little fat chap thrust out his under-lip, and the tall fellow frowned."
mansfield.garden-party,13,13,0.6,52,46,"""I don't have an idea of it,"" said he. ""Not readily seen enough. You see, with a thing like a canvas house,"" and he turned to Laura in his simple way, ""you want to put it somewhere where it'll give you a sudden blow in the eye, if you go after me.""","""I don't fancy it,"" said he. ""Not conspicuous enough. You see, with a thing like a marquee,"" and he turned to Laura in his easy way, ""you want to put it somewhere where it'll give you a bang slap in the eye, if you follow me."""
mansfield.garden-party,14,14,0.6667,33,32,Laura's training made her surprise for a moment whether it was quite respectful of a workman to talk to her of sudden blow in the eye. But she did quite go after him.,Laura's upbringing made her wonder for a moment whether it was quite respectful of a workman to talk to her of bangs slap in the eye. But she did quite follow him.
mansfield.garden-party,15,15,0.5455,21,16,"""An angle of the place for playing tennis,"" she made a suggestion. ""But the band's going to be in one angle.""","""A corner of the tennis-court,"" she suggested. ""But the band's going to be in one corner."""
mansfield.garden-party,16,16,0.561,42,32,"""H'm, going to have a band, are you?"" said another of the workmen. His face was white. He had a tired look as his dark eyes looked at either part of the place for playing tennis. What did he have in mind?","""H'm, going to have a band, are you?"" said another of the workmen. He was pale. He had a haggard look as his dark eyes scanned the tennis-court. What was he thinking?"
mansfield.garden-party,17,17,0.7407,29,25,"""Only a very small band,"" said Laura gently. Perhaps he wouldn't mind so much if the band was quite small. But the tall boy put a stop to it.","""Only a very small band,"" said Laura gently. Perhaps he wouldn't mind so much if the band was quite small. But the tall fellow interrupted."
mansfield.garden-party,18,18,1.0,14,14,"""Look here, miss, that's the place. Against those trees. Over there. That'll do fine.""","""Look here, miss, that's the place. Against those trees. Over there. That'll do fine."""
mansfield.garden-party,19,19,0.4925,89,59,"Against the karakas ( a kind of the tree.) Then the karaka-trees would be put out of the way. And they were so lovely, with their wide, leaves giving light, and their mass of yellow fruit. They were like trees you had an idea of growing on a island of the waste of sand, having a very high opinion and being by themselves, lifting their leaves and fruits to the sun in a kind of quiet beauty. Must they be put out of the way by a canvas house?","Against the karakas. Then the karaka-trees would be hidden. And they were so lovely, with their broad, gleaming leaves, and their clusters of yellow fruit. They were like trees you imagined growing on a desert island, proud, solitary, lifting their leaves and fruits to the sun in a kind of silent splendour. Must they be hidden by a marquee?"
mansfield.garden-party,20,20,0.6364,138,123,"They have to. Up to now the men had burned their sticks and were making for the place. Only the tall boy didn’t go. He bent down, gripped a small branch of lavender, put his thumb and forefinger to his nose and smelled them. When Laura saw that motion of hand as a sign she put out of mind all about the karakas in her wonder at him caring for things like that–caring for the smell of lavender. How many men that she knew would have done such a thing? Oh, how surprisingly nice workmen were, she had thoughts in mind. Why couldn't she have workmen for her friends rather than the foolish boys she danced with and who came to Sunday night last meal of the day? She would get on much better with men like these.","They must. Already the men had shouldered their staves and were making for the place. Only the tall fellow was left. He bent down, pinched a sprig of lavender, put his thumb and forefinger to his nose and snuffed up the smell. When Laura saw that gesture she forgot all about the karakas in her wonder at him caring for things like that - caring for the smell of lavender. How many men that she knew would have done such a thing? Oh, how extraordinarily nice workmen were, she thought. Why couldn't she have workmen for her friends rather than the silly boys she danced with and who came to Sunday night supper? She would get on much better with men like these."
mansfield.garden-party,21,21,0.5794,139,124,"It's a complete fault, she came to a decision, as the tall boy pulled something on the back of a cover of the letter, something that was to be circled up or left to hang, of these foolish different points in class. Well, for her part, she wasn’t conscious of them. Not a bit, not an atom. . . . And now there came the chock-chock of wooden hammers. Someone whistled, someone sang out, ""Are you right there, matey?"" ""Matey!"" The friendliness of it, the–the–Just to make certain how happy she was, just to make clear for the tall boy how at home she was, and how she hated stupid forms of common behaviour, Laura took a big bite of her bread-and-butter as she looked fixedly at the little picture. She was conscious of being just like a work-girl.","It's all the fault, she decided, as the tall fellow drew something on the back of an envelope, something that was to be looped up or left to hang, of these absurd class distinctions. Well, for her part, she didn't feel them. Not a bit, not an atom ... And now there came the chock-chock of wooden hammers. Some one whistled, some one sang out, ""Are you right there, matey?"" ""Matey!"" The friendliness of it, the - the - Just to prove how happy she was, just to show the tall fellow how at home she felt, and how she despised stupid conventions, Laura took a big bite of her bread-and-butter as she stared at the little drawing. She felt just like a work-girl."
mansfield.garden-party,22,22,1.0,13,13,"""Laura, Laura, where are you? Telephone, Laura!"" a voice cried from the house.","""Laura, Laura, where are you? Telephone, Laura!"" a voice cried from the house."
mansfield.garden-party,23,23,0.561,45,37,"""Coming!"" Away she went quickly, over the space of grass, up the footway, up the steps, across the railed walk outside a window, and into the roofed doorway. In the hall her father and Laurie were brushing their hats ready to go to the office.","""Coming!"" Away she skimmed, over the lawn, up the path, up the steps, across the veranda, and into the porch. In the hall her father and Laurie were brushing their hats ready to go to the office."
mansfield.garden-party,24,24,0.6897,25,24,"""I say, Laura,"" said Laurie very quickly, ""you might just give a tight grip at my coat before this afternoon. See if it needs ironing.""","""I say, Laura,"" said Laurie very fast, ""you might just give a squiz at my coat before this afternoon. See if it wants pressing."""
mansfield.garden-party,25,25,0.6765,35,29,"""I will,"" said she. Suddenly she couldn't stop herself. She ran at Laurie and gave him a small, quick tight grip. ""Oh, I do love meeting of friends, don't you?"" Laura took quick, short breath.","""I will,"" said she. Suddenly she couldn't stop herself. She ran at Laurie and gave him a small, quick squeeze. ""Oh, I do love parties, don't you?"" gasped Laura."
mansfield.garden-party,26,26,0.5143,30,25,"""Ra-ther,"" said Laurie's warm, voice like that of the boy, and he gripped tightly his sister too, and gave her a quiet push. ""Go quickly to the telephone, old girl.""","""Rather,"" said Laurie's warm, boyish voice, and he squeezed his sister too, and gave her a gentle push. ""Dash off to the telephone, old girl."""
