category,meta_field
Ingestion,body_health
Inhibit_movement,physical_action
Inspecting,perception_sensation
Installing,physical_action
Institutionalization,social_interpersonal
Intentionally_act,other
Intentionally_affect,other
Intentionally_create,physical_action
Intercepting,physical_action
Interrupt_process,time_aspect
Invading,social_interpersonal
Judgment,evaluation_modality
Judgment_communication,evaluation_modality
Judgment_direct_address,evaluation_modality
Justifying,communication_speech
Kidnapping,social_interpersonal
Killing,physical_action
Labeling,communication_speech
Leadership,social_interpersonal
Legal_rulings,evaluation_modality
Lending,possession_exchange
Likelihood,evaluation_modality
Limiting,quantity_degree
Linguistic_meaning,communication_speech
Location_of_light,perception_sensation
Locative_relation,existence_state
Losing,possession_exchange
Make_acquaintance,social_interpersonal
Make_cognitive_connection,cognition_mental
Make_compromise,social_interpersonal
Make_noise,physical_action
Making_arrangements,cognition_mental
Making_faces,body_health
Manipulate_into_doing,social_interpersonal
Manipulate_into_shape,physical_action
Manipulation,physical_action
Manufacturing,physical_action
Mass_motion,physical_action
Medical_intervention,body_health
Memorization,cognition_mental
Memory,cognition_mental
Mining,physical_action
Misdeed,social_interpersonal
Motion,physical_action
Motion_directional,physical_action
Motion_noise,physical_action
Moving_in_place,physical_action
Name_conferral,communication_speech
Needing,evaluation_modality
Non-commutative_process,other
Notification_of_charges,communication_speech
Objective_influence,other
Occupy_rank,social_interpersonal
Offering,possession_exchange
Omen,evaluation_modality
Operate_vehicle,physical_action
Operational_testing,evaluation_modality
Opinion,cognition_mental
Partiality,evaluation_modality
Participation,social_interpersonal
Path_shape,physical_action
Patrolling,physical_action
Perception_active,perception_sensation
Perception_body,perception_sensation
Perception_experience,perception_sensation
Performers_and_roles,social_interpersonal
Personal_relationship,social_interpersonal
Piracy,possession_exchange
Placing,physical_action
Posing_as,communication_speech
Possession,possession_exchange
Possibility,evaluation_modality
Posture,body_health
Practice,cognition_mental
Precipitation,physical_action
Predicting,communication_speech
Preserving,physical_action
Prevarication,communication_speech
Prevent_or_allow_possession,possession_exchange
Preventing_or_letting,evaluation_modality
Process_continue,time_aspect
Process_end,time_aspect
Process_resume,time_aspect
Process_start,time_aspect
Process_stop,time_aspect
Processing_materials,physical_action
Progression,quantity_degree
Prohibiting_or_licensing,evaluation_modality
Proliferating_in_number,quantity_degree
Protecting,social_interpersonal
Protest,communication_speech
Provide_lodging,social_interpersonal
Publishing,communication_speech
Punctual_perception,perception_sensation
Purpose,cognition_mental
Putting_out_fire,physical_action
Quarreling,social_interpersonal
Questioning,communication_speech
Quitting,social_interpersonal
Quitting_a_place,physical_action
Rape,physical_action
Ratification,evaluation_modality
Reading_perception,perception_sensation
Reasoning,cognition_mental
Rebellion,social_interpersonal
Receiving,possession_exchange
Recording,communication_speech
Recovery,body_health
Redirecting,physical_action
Referring_by_name,communication_speech
Reforming_a_system,social_interpersonal
Rejuvenation,body_health
Relating_concepts,cognition_mental
Relative_time,time_aspect
Releasing,physical_action
Reliance,social_interpersonal
Remainder,quantity_degree
Remembering_experience,cognition_mental
Remembering_information,cognition_mental
Removing,physical_action
Render_nonfunctional,physical_action
Renting,possession_exchange
Renunciation,cognition_mental
Repayment,possession_exchange
Repel,physical_action
Replacing,physical_action
Reporting,communication_speech
Request,communication_speech
Required_event,evaluation_modality
Rescuing,social_interpersonal
Research,cognition_mental
Reserving,possession_exchange
Reshaping,physical_action
Residence,existence_state
Resolve_problem,cognition_mental
Respond_to_proposal,communication_speech
Response,physical_action
Resurrection,existence_state
Reveal_secret,communication_speech
Revenge,social_interpersonal
Rewards_and_punishments,evaluation_modality
Ride_vehicle,physical_action
Rite,social_interpersonal
Robbery,possession_exchange
Rope_manipulation,physical_action
Rotting,physical_action
Scheduling,time_aspect
Scouring,physical_action
Scrutiny,cognition_mental
Seeking,cognition_mental
Self_control,cognition_mental
Self_motion,physical_action
Sending,physical_action
Sentencing,evaluation_modality
Separating,physical_action
Setting_fire,physical_action
Sex,body_health
Shoot_projectiles,physical_action
Shopping,possession_exchange
Sign,evaluation_modality
Sign_agreement,social_interpersonal
Silencing,communication_speech
Similarity,existence_state
Simultaneity,time_aspect
Sleep,body_health
Smuggling,possession_exchange
Soaking,physical_action
Soaking_up,physical_action
Sound_movement,perception_sensation
Speak_on_topic,communication_speech
Spelling_and_pronouncing,communication_speech
Statement,communication_speech
Stinginess,evaluation_modality
Storing,physical_action
Suasion,communication_speech
Subjective_influence,other
Submitting_documents,communication_speech
Subversion,social_interpersonal
Success_or_failure,evaluation_modality
Successful_action,evaluation_modality
Suitability,evaluation_modality
Summarizing,communication_speech
Supply,possession_exchange
Supporting,social_interpersonal
Surpassing,quantity_degree
Surrendering,social_interpersonal
Surrendering_possession,possession_exchange
Surrounding,existence_state
Surviving,existence_state
Taking_sides,social_interpersonal
Talking_into,communication_speech
Telling,communication_speech
Temporary_stay,time_aspect
Text_creation,communication_speech
Theft,possession_exchange
Thriving,evaluation_modality
Thwarting,evaluation_modality
Tolerating,emotion_affect
Topic,communication_speech
Travel,physical_action
Traversing,physical_action
Treating_and_mistreating,social_interpersonal
Triggering,physical_action
Unattributed_information,communication_speech
Undergo_transformation,existence_state
Undergoing,existence_state
Undressing,body_health
Use_firearm,physical_action
Using,physical_action
Using_resource,possession_exchange
Vehicle_landing,physical_action
Verdict,evaluation_modality
Verification,evaluation_modality
Visiting,social_interpersonal
Wagering,possession_exchange
Waiting,time_aspect
Waking_up,body_health
Warning,communication_speech
Waver_between_options,cognition_mental
Wearing,body_health
Weather,physical_action
Win_prize,evaluation_modality
Working_a_post,social_interpersonal
